ObjectID,GlobalID,Select:,SubTransect,Target Species,CoordX,CoordY,Accuracy,Fix,UTMX,UTMY,Datum,Bearing,Notes,Left Distribution,Left Density,Trail Distribution,Trail Density,Right Distribution,Right Density,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
23,9c03df0d-d071-4919-8ee4-b49c05486d12,4,4,NONE_inv,,,,,,,,,,N,,,,,,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,0,0
24,67f293ba-824a-4384-9537-6629c048a533,5,5,NONE_inv,,,,,,,,,,,,,,,,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,0,0
25,f60af7dd-08b6-4ea6-bfff-796391250e2e,6,6,NONE_inv,,,,,,,,,,,,,,,,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,0,0
26,17a67fb2-7c99-40a5-aee4-70a874460241,7,7,ARUDON,-118.8467777,34.19170383,4.885487379,,329827,3784953,WGS84,,,N,,N,,I,<10,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,-118.8467777,34.19170383
27,ea462cf5-8b35-4080-912d-50ae9ae42a4d,8,8,ASPFIS,-118.8504598,34.18701997,,,329478,3784440,WGS84,,,I,10-100,N,,N,,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,-118.8504598,34.18701997
28,5fcd26ca-d5b5-4061-ab9d-76527f2a724e,10,10,NONE_inv,,,,,,,,,,N,,,,,,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,0,0
29,480d4416-aa0f-4327-b3e6-f8c861a40d65,3,3,NONE_inv,,,,,,,,,,,,,,,,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,0,0
30,e0565eb3-ae9a-410b-81bf-45731c15842b,9,9,CENSOL,-118.8493259,34.18994414,,,329588,3784762,WGS84,,,N,,N,,SC,10-100,339fb791-0f27-4c8b-81c4-5eb8091178e9,5/22/2022 23:53,dakamradt@nps.gov_nps,5/22/2022 23:53,dakamradt@nps.gov_nps,-118.8493259,34.18994414
31,b8c33ea1-d008-45ff-bb80-7a1af6688b95,1,1,NONE_inv,-118.8841782,34.18576128,35,,326368,3784357,WGS84,,,I,<10,P,10-100,N,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,-118.8841782,34.18576128
32,a6de69c8-4401-4fe7-b203-5fa41b2a39fc,2,2,NONE_inv,,,,,,,,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
33,4004cd36-caaf-40b9-957a-ba17f9c47c04,4,4,NONE_inv,,,,,,,,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
34,dffe2025-a8a6-42d3-ad00-39413230f0c3,5,5,NONE_inv,,,,,,,,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
35,7fb16abc-4fbd-48f2-aa5c-c2e92f3fc03c,6,6,NONE_inv,,,,,,,WGS84,,,N,,L,>100,N,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
36,ad47061d-bd08-44aa-968b-e6df5e4fe539,3,3,NONE_inv,-118.884171,34.18574639,35,,326368,3784355,WGS84,,,N,,N,,N,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,-118.884171,34.18574639
37,7deea05b-4ebd-4bcb-8825-c4eaec46a005,9,9,NONE_inv,,,,,,,,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
40,,7,7,NONE_inv,,,,,,,,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
41,,8,8,NONE_inv,,,,,,,,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
38,8bd4125c-888f-4bb5-b613-9513d193c72d,10,10,NONE_inv,,,,,,,,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
39,09527cc5-b027-4990-a143-ac2a52a9939d,,,,,,,,,,WGS84,,,,,,,,,94ffd38f-0a34-4b04-84cc-e174347a0a2e,6/1/2022 23:40,mmendelsohn@nps.gov_nps,6/1/2022 23:40,mmendelsohn@nps.gov_nps,0,0
